biologalaš	413.0000
čatnasit	413.0000
boahtte	413.0000
riidu	412.5000
oahpaheapmi	412.2500
njuolgat	412.0000
gullevašvuohta	412.0000
fápmudit	412.0000
|	412.0000
buvttadit	411.1667
vuolgit	411.0000
doarjjareive	411.0000
geassejahki	410.0000
jeageleana	410.0000
áŋgiruššat	409.5000
juohkin	409.0000
johtolat	408.0000
sihkkarastin	408.0000
duopmostuollu	408.0000
ohcanáigemearri	408.0000
álo	407.8333
goas	407.0000
positiiva	407.0000
ráđđelahttu	407.0000
buolva	406.0000
skovvi	406.0000
Sis-Finnmárku	405.0000
fásta	404.5000
geassi	404.3333
heivvolaš	403.0000
máŋggalágan	403.0000
lágádus	402.5000
vuolggasadji	402.0000
doarjjastivra	402.0000
jávri	400.5000
olgoriika	399.5000
beaivválaš	397.0000
vuođđooahpahus	397.0000
elektrovnnalaš	397.0000
olmmošvuoigatvuohta	396.0000
iešmearrideapmi	395.5000
ovtta_oaivilis	395.0000
nuortasápmi	395.0000
ii-	394.0000
álbmotriekti	394.0000
beroštus	394.0000
nammii	393.5000
aviisa	393.5000
dohko	393.0000
bargovuohki	393.0000
dulka	393.0000
Gielda-_ja_guovlodepartemeanta	393.0000
sámegieloahpahus	392.5000
filbma	392.0000
bargosadji	392.0000
d	392.0000
kulturviessu	391.0000
viežžat	390.5000
rávisolmmoš	390.5000
oarjelsápmi	390.5000
moadde	390.0000
geasseorohat	390.0000
bagadus	390.0000
lasáhus	389.0000
heaittihit	388.6667
til	388.0000
ealáhuseallin	388.0000
árrat	387.5000
deaivvadit	387.5000
jearrat	387.1500
mihttu	387.0000
bistit	386.5000
sámediggejoavku	386.0000
ovdalis	385.0000
oarjelsámegiella	385.0000
ovdanbuktin	385.0000
danin_go	384.0000
čađa	383.0000
doaibmagollu	383.0000
duššefal	382.0000
revideret	382.0000
doaibmaguovlu	382.0000
fágasuorgi	382.0000
1997	381.0000
Mátta-Várjjat	381.0000
dovddahit	380.5000
gosa	380.0000
stivret	379.5000
lassáneapmi	379.0000
ovddidanfoanda	379.0000
gálvu	379.0000
Olli	379.0000
báhcit	378.0000
belle	377.5000
vuoitu	377.0000
ulbmillaš	376.0000
ovdii	375.0000
positiivvalaš	375.0000
johka	374.5000
soahkevuovdi	374.0000
Čearru	374.0000
