Apotekergata+N+Prop+Sem/Plc	Apotekergt	ˈɑ.po.tˌe.ker#gh
akšuvdna+N+Sg+Ill	akšuvdnii	ˈɑkː.ʃuv.tnij
akšuvdna+N+Sg+Gen+PxDu3	akšuvnnaska	ˈɑkː.ʃuvn.nˌɑsː.kɑ
akšuvdna+N+Sg+Com+PxPl3	akšuvnnaineaset	ˈɑkː.ʃuvn.nˌɑj.nĕæ.seh
akšuvdna+N+Sg+Loc	akšuvnnas	ˈɑkː.ʃuvn.nɑs
akšuvdna+N+Der/Dimin+N+Der/viđá+Adv	akšuvnnašviđá	ˈɑkː.ʃuvn.nɑ»ʃ»vˌi.ðɑː
akšuvdna+N+Der/Dimin+N+Pl+Nom	akšuvnnažat	ˈɑkː.ʃuvn.nɑ»dʃɑh
akšuvdna+N+Der/heapmi+A+Comp+Attr	akšuvnnahut	ˈɑkː.ʃuvn.nɑ»huh
akšuvdna+N+Der/huhtti+V+TV+Ind+Prs+Sg2	akšuvnnahuhtát	ˈɑkː.ʃuvn.nɑ»hˌuhː.tɑːh
abessiiva+N+Der/viđá+Adv	abessiivaviđá	ˈɑ.bes.sˌijː.vɑ»vˌi.ðɑː
actionlágaš+v2+A+Ess	actionlágážin	ˈɑts.tion#lˌɑː.gɑː.dʃin
actionpop+N+Ess+PxDu1	actionpopaneame	ˈɑts.tion#phˌo.pɑ.nˌĕæ.me
adviseret+V+TV+Ind+Prt+Pl2	adviseriidet	ˈɑd.vi.sˌe.rij.deh
addit+V+TV+VAbess+A+Attr	attikeahtes	ˈɑt.ti.kˌĕæh.tes
aetáhtta+N+Sg+Loc+PxDu2	aetáhtasteatte	ˈɑ.e.tˌɑːh.tɑs.tˌĕæt.te
aerográmma+N+Sg+Ill	aerográmmii	ˈɑe.ro.grˌɑːm.mij
agnostisisma+N+Sg+Ill	agnostisismii	ˈɑ.gnos.tˌi.sis.mij
agrárapartiija+Sem/Org+N+Sg+Ill	agrárapartiijai	ˈɑg.rɑː.rɑ#phˌɑrə.htij.jɑj
ahki+N+Pl+Nom	agit	ˈɑ.giːh
ahkáduvvat+V+IV+Der/ahtti+V+TV+PrfPrc	ahkáduhttán	ˈɑhː.kɑːd»ˌuhː.tɑːn
ahppar+A+Attr	ahppar	ˈɑhː.pɑːr
aiget+V+IV+Inf	aiget	ˈɑjː.keh
amas+A+Attr+Der/vuohta+N+Sg+Ill+PxDu1	amasvuohtaseame	ˈɑ.mɑːs»vˌuoh.tɑ.sˌĕæ.me
amas+A+Pl+Nom	apmasat	ˈɑpː.mɑː.sɑh
aortauvssot+N+Sg+Ill	aortauvssohii	ˈɑorə.htɑ#ˌuβs.so.hij
apogeum+N+Sg+Nom+PxDu3	apogeumeaskka	ˈɑ.po.gˌe.u.mˌeæs.kɑ
appealladuopmostuollu+Sem/Org+N+Ess+PxSg1	appealladuopmostuollunan	ˈɑp.peæl.lɑ#tˌŭop.mo#stˌuol.lu.nɑn
asbeasta+N+Sg+Ill	asbestii	ˈɑs.bes.tij
atnit+V+TV+Ind+Prt+Pl2	aniidet	ˈɑ.nij.deh
atrofieret+V+TV+Actio+Gen	atrofieren	ˈɑ.tro.fˌi.e.ren
attus+N+Sg+Acc+PxPl3	addoseaset	ˈɑdː.to.sˌĕæ.seh
azihit+V+TV+Actio+Loc	aziheamis	ˈɑ.dsi.hˌeæ.mis
ađadákti+Sem/Food+N+Sg+Gen+Allegro	ađadávtte	ˈɑ.ðɑː#tˌɑːβɸ.te
ađđái+A+Attr	ađđás	ˈɑðː.ðɑːs
aŋkke+Adv	aŋkke	ˈɑŋŋ̊.ke
akšuvdnabeaivi+Sem/Time+N+Pl+Acc+PxPl3	ákšunbeivviideaset	ˈɑːkː.ʃun#pˌejv.vij.dˌĕæ.seh
akšuvdnabeaivi+Sem/Time+N+Pl+Acc	ákšunbeivviid	ˈɑːkː.ʃun#pˌejv.vijh
akšuvdnabeaivi+Sem/Time+N+Pl+Com+PxSg3	ákšunbeivviidisguin	ˈɑːkː.ʃun#pˌejv.vij.dˌis.gujn
akšuvdnabeaivi+Sem/Time+N+Pl+Com	ákšunbeivviiguin	ˈɑːkː.ʃun#pˌejv.vij.gujn
akšuvdnabeaivi+Sem/Time+N+Pl+Gen+PxPl2	ákšunbeivviideattet	ˈɑːkː.ʃun#pˌejv.vij.dˌĕæt.teh
akšuvdnabeaivi+Sem/Time+N+Pl+Gen+PxSg3	ákšunbeivviidis	ˈɑːkː.ʃun#pˌejv.vij.dis
akšuvdnabeaivi+Sem/Time+N+Pl+Ill+PxSg2	ákšunbeivviidasat	ˈɑːkː.ʃun#pˌejv.vij.dˌɑ.sɑh
akšuvdnabeaivi+Sem/Time+N+Pl+Loc+PxDu1	ákšunbeivviineame	ˈɑːkː.ʃun#pˌejv.vij.nˌĕæ.me
akšuvdnabeaivi+Sem/Time+N+Pl+Loc+PxPl1	ákšunbeivviineamet	ˈɑːkː.ʃun#pˌejv.vij.nˌĕæ.meh
akšuvdnabeaivi+Sem/Time+N+Pl+Loc+PxSg3	ákšunbeivviinis	ˈɑːkː.ʃun#pˌejv.vij.nis
akšuvdnabeaivi+Sem/Time+N+Pl+Loc	ákšunbeivviin	ˈɑːkː.ʃun#pˌejv.vijn
akšuvdnabeaivi+Sem/Time+N+Sg+Com+PxDu1	ákšunbeivviineame	ˈɑːkː.ʃun#pˌejv.vij.nˌĕæ.me
akšuvdnabeaivi+Sem/Time+N+Sg+Com+PxDu2	ákšunbeivviineatte	ˈɑːkː.ʃun#pˌejv.vij.nˌĕæt.te
akšuvdnabeaivi+Sem/Time+N+Sg+Com+PxPl3	ákšunbeivviineaset	ˈɑːkː.ʃun#pˌejv.vij.nˌĕæ.seh
akšuvdnabeaivi+Sem/Time+N+Sg+Com+PxSg3	ákšunbeivviinis	ˈɑːkː.ʃun#pˌejv.vij.nis
akšuvdnabeaivi+Sem/Time+N+Der/viđá+Adv	ákšunbeaiveviđá	ˈɑːkː.ʃun#pˌĕæjː.ve»vˌi.ðɑː
akšuvdnabeaivi+Sem/Time+N+Ess+PxDu3	ákšunbeaivineaskka	ˈɑːkː.ʃun#pˌĕæjː.vi.nˌeæs.kɑ
akšuvdnabeaivi+Sem/Time+N+Ess	ákšunbeaivin	ˈɑːkː.ʃun#pˌĕæjː.vin
akšuvdnabeaivi+Sem/Time+N+Sg+Gen+PxDu1	ákšunbeaiváme	ˈɑːkː.ʃun#pˌĕæjː.vɑː.me
akšuvdnabeaivi+Sem/Time+N+Sg+Ill+PxSg1	ákšunbeaivásan	ˈɑːkː.ʃun#pˌĕæjː.vɑː.sɑn
akšuvdnabeaivi+Sem/Time+N+Sg+Ill	ákšunbeaivái	ˈɑːkː.ʃun#pˌĕæjː.vɑːj
akšuvdnabeaivi+Sem/Time+N+Sg+Gen+Allegro	ákšunbeaivve	ˈɑːkː.ʃun#pˌĕæjv.ve
akšuvdnabeaivi+Sem/Time+N+Der/heapmi+A+Pl+Acc	ákšunbeaivvehemiid	ˈɑːkː.ʃun#pˌĕæjv.ve»hˌe.mijh
akšuvdnabeaivi+Sem/Time+N+Der/huhtti+V+TV+Actio+Ess	ákšunbeaivvehuhttimin	ˈɑːkː.ʃun#pˌĕæjv.ve»hˌuhː.ti.min
akšuvdnabeaivi+Sem/Time+N+Der/huvva+V+IV+Ind+Prt+ConNeg	ákšunbeaivvehuvvan	ˈɑːkː.ʃun#pˌĕæjv.ve»hˌuv.vɑn
akšuvdnabeaivi+Sem/Time+N+Pl+Nom	ákšunbeaivvit	ˈɑːkː.ʃun#pˌeæjv.vih
akšuvdnabeaivi+Sem/Time+N+Sg+Acc+PxDu3	ákšunbeaivviska	ˈɑːkː.ʃun#pˌeæjv.vis.kɑ
akšuvdnabeaivi+Sem/Time+N+Sg+Acc+PxSg3	ákšunbeaivvis	ˈɑːkː.ʃun#pˌeæjv.vis
akšuvdnabeaivi+Sem/Time+N+Der/huvva+V+IV+Ger+PxDu3	ákšunbeaivvihuvadettiineaskka	ˈɑːkː.ʃun#pˌeæjv.vi»hˌu.vɑ.dˌet.tij.nˌeæs.kɑ
akšuvdnabeaivi+Sem/Time+N+Sg+Acc+PxPl2	ákšunbeaivvádet	ˈɑːkː.ʃun#pˌeæjv.vɑː.deh
akšuvdnabeaivi+Sem/Time+N+Sg+Gen+PxPl2	ákšunbeaivvádet	ˈɑːkː.ʃun#pˌeæjv.vɑː.deh
akšuvdnabeaivi+Sem/Time+N+Der/laš+A+Comp+Sg+Nom	ákšunbeaivválat	ˈɑːkː.ʃun#pˌeæjv.vɑː»lɑh
akšuvdnabeaivi+Sem/Time+N+Der/laš+A+Comp+Sg+Nom	ákšunbeaivváleabbo	ˈɑːkː.ʃun#pˌeæjv.vɑː»lˌĕæbː.po
akšuvdnabeaivi+Sem/Time+N+Der/laš+A+Comp+Attr	ákšunbeaivválut	ˈɑːkː.ʃun#pˌeæjv.vɑː»luh
akšuvdnabeaivi+Sem/Time+N+Der/laš+A+Der/vuohta+N+Sg+Acc+PxPl1	ákšunbeaivválašvuohtamet	ˈɑːkː.ʃun#pˌeæjv.vɑː»lɑʃ»vˌuoh.tɑ.meh
boazolohkoraporta+v1+N+Ess	+Use/Subboazolohkuraportan	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.por.htɑn
boazolohkoraporta+v1+N+Sg+Acc+PxDu1	+Use/Subboazolohkuraportame	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.por.htˌɑ.me
boazolohkoraporta+v1+N+Sg+Ill+PxDu1	+Use/Subboazolohkuraportaseame	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.por.htˌɑ.sĕæ.me
boazolohkoraporta+v1+N+Sg+Ill	+Use/Subboazolohkuraportii	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.por.htij
boazolohkoraporta+v1+N+Pl+Acc+PxPl3	+Use/Subboazolohkuraporttaideaset	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.porht.tˌɑjː.tĕæ.seh
boazolohkoraporta+v1+N+Pl+Loc+PxSg3	+Use/Subboazolohkuraporttainis	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.porht.tˌɑj.nis
boazolohkoraporta+v1+N+Pl+Nom	+Use/Subboazolohkuraporttat	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.porht.tɑh
boazolohkoraporta+v1+N+Sg+Gen+PxDu3	+Use/Subboazolohkuraporttaska	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.porht.tˌɑsː.kɑ
boazolohkoraporta+v1+N+Sg+Loc+PxSg2	+Use/Subboazolohkuraporttastat	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.porht.tˌɑsː.tɑh
boazolohkoraporta+v1+N+Der/heapmi+A+Pl+Com	+Use/Subboazolohkuraporttahemiiguin	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.porht.tɑ»hˌe.mij.gujn
boazolohkoraporta+N+Ess+PxDu1	+Use/Subboazolohkuraportaneame	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.por.htˌɑ.nĕæ.me
boazolohkoraporta+N+Ess+PxDu3	+Use/Subboazolohkuraportaneaskka	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.por.htˌɑ.neæs.kɑ
boazolohkoraporta+N+Ess+PxPl3	+Use/Subboazolohkuraportaneaset	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.por.htˌɑ.nĕæ.seh
boazolohkoraporta+N+Ess+PxSg2	+Use/Subboazolohkuraportanat	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.por.htˌɑ.nɑh
boazolohkoraporta+N+Sg+Ill+PxPl2	+Use/Subboazolohkuraportaseattet	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.por.htˌɑ.sĕæt.teh
boazolohkoraporta+N+Der/viđá+Adv	+Use/Subboazolohkuraportaviđá	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.por.htɑ»vˌi.ðɑː
boazolohkoraporta+N+Sg+Ill	+Use/Subboazolohkuraportii	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.por.htij
boazolohkoraporta+N+Pl+Nom	+Use/Subboazolohkuraporttat	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.porht.tɑh
boazolohkoraporta+N+Sg+Acc+PxDu2	+Use/Subboazolohkuraporttade	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.porht.tˌɑ.de
boazolohkoraporta+N+Sg+Acc+PxPl3	+Use/Subboazolohkuraporttaset	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.porht.tˌɑ.seh
boazolohkoraporta+N+Sg+Com+PxPl2	+Use/Subboazolohkuraporttaineattet	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.porht.tˌɑj.nĕæt.teh
boazolohkoraporta+N+Sg+Com+PxSg2	+Use/Subboazolohkuraporttainat	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.porht.tˌɑj.nɑh
boazolohkoraporta+N+Sg+Loc	+Use/Subboazolohkuraporttas	+u.se/subː.pŏɑ.dso#lˌoh.ku#rˌɑ.porht.tɑs
bajuš+N+Sg+Gen	badjoša	pˈɑc.co.ʃɑ
bakkas+A+Sg+Com	baggasiin	pˈɑgː.kɑː.sijn
bakteara+N+Der/viđá+Adv	baktearaviđá	pˈɑkː.hteæ.rɑ»vˌi.ðɑː
bargu+Sem/Plc+N+Der/viđá+Adv	bargoviđá	pˈɑrə.ko»vˌi.ðɑː
bauksihtta+N+Sg+Loc+PxDu1	bauksihtasteame	pˈɑukː.sih.tˌɑsː.tĕæ.me
beadjut+V+IV+Inf	beadjut	pˈeæc.cuːh
bealát+A+Ess	bealágin	pˈeæ.lɑː.gin
befeštuvvat+V+IV+Der/ahtti+V+TV+Der/PassS+V+IV+Inf	befeštuhttot	pˈeː.feʃh»ˌuhː.to»h
behttosat+Der/heapmi+A+Ess+PxPl1	beahtusheapmineamet	pˈeæh.tus»hˌeæp.mi.nˌĕæ.meh
belle+N+Der/huvva+V+IV+Imprt+Du1	belehuvvu	pˈe.le»hˌuvː.vu
benzena+N+Sg+Ill	benzenii	pˈenː.tse.nij
beđo+N+Sg+Com+PxDu1	beđuineame	pˈeː.ðuj.nˌĕæ.me
berosmeahttun+A+Attr	birosmeahttun	pˈiː.ros.mˌĕæhː.tun
berošmeahttun+A+AttrCmp+Der/mohkat+A+Pl+Gen	birošmeahttunmohkagiid	pˈiː.roʃ.mˌĕæhː.tun»mˌoh.kɑ.gijh
beroštahtti+A+AttrCmp+Der/mállet+A+Pl+Com	biroštahttimállegiiguin	pˈiː.roʃ.tˌɑhː.ti»mˌɑːl.le.gˌij.gujn
beroštahtti+A+Sg+Ill	biroštahttái	pˈiː.roʃ.tˌɑhː.tɑːj
biffa+G3+N+Sg+Ill	biffii	pˈif.fij
biksa+N+Der/laš+A+Attr	bivssalaš	pˈiβsː.sɑː»lɑʃ
bissut+V+IV+Actio+Gen	bissun	pˈisː.suːn
bižanas+N+Sg+Loc+PxDu3	bižanasasteaskka	pˈi.dʃɑː.nˌɑ.sɑs.tˌeæs.kɑ
blubb+Interj	blubb	blˈubː
blues+N+Sg+Nom	blues	blˈu.es
blues+N+Sg+Ill	bluesii	blˈu.e.sij
boliisabire+Sem/Plc+N+Pl+Com	boliisabiriiguin	pˈoː.lij.sɑ#pˌi.rij.gujn
bramaista+Sem/Hum+N+Sg+Ill+PxPl3	bramaistaseaset	brˈɑ.mɑː.ˌisː.tɑ.sˌĕæ.seh
braveret+V+TV+Der/PassL+V+IV+Actio+Nom	braverejuvvon	brˈɑ.ve.re»jˌuv.von
bronsa+N+Sg+Ill	bronsii	brˈonː.sij
bruttodienas+Sem/Money+N+Ess	bruttodienasin	brˈut.to#tˌie.nɑ.sin
bryggeriija+Sem/Build+Sem/Org+N+Pl+Com+PxPl3	bryggeriijaideasetguin	brˈygː.ke.rˌij.jɑj.dˌĕæ.set.gujn
bubme+N+Ess+PxDu3	bubmeneaskka	pˈub.me.nˌeæs.kɑ
buddi+N+Sg+Gen+Allegro	butte	pˈut.te
buddi+N+Sg+Com+PxPl3	buttiineaset	pˈut.tij.nˌĕæ.seh
bulmmot+Sem/Ani+N+Sg+Ill+PxPl3	bulmmohasaset	pˈulm.mo.hˌɑ.sɑ.seh
buškogálla+Sem/Plant+N+Ess+PxDu2	buškogállaneatte	pˈuʃː.ko#kˌɑːl.lɑ.nˌĕæt.te
byrokráhtalaš+A+Sg+Ill	byrokráhtalažžii	pˈy.ro.krˌɑːh.tɑ.lˌɑdː.tʃij
byrå+Sem/Org+N+Der/viđá+Adv	byråviđá	pˈy.roː»vˌi.ðɑː
byråkratiija+N+Sg+Ill	byråkratiijii	pˈy.roː.krˌɑ.tij.jij
bákša+N+Der/viđá+Adv	bákšaviđá	pˈɑːkː.ʃɑ»vˌi.ðɑː
börsafitnodat+Sem/Org+N+Der/Dimin+N+Ess	börsafitnodagažin	pˈørə.sɑ#fˌit.no.dˌɑ.gɑ»dʃin
börsafitnodat+Sem/Org+N+Sg+Nom	börsafitnodat	pˈørə.sɑ#fˌit.no.dɑh
börsagávpi+N+Sg+Gen+PxDu1	börsagávpáme	pˈørə.sɑ#kˌɑːβː.ɸpɑː.me
börsagávpi+N+Sg+Ill	börsagávpái	pˈørə.sɑ#kˌɑːβː.ɸpɑːj
börsagávpi+N+Sg+Com+PxPl1	börsagávppiineamet	pˈørə.sɑ#kˌɑːβɸ.pij.nˌĕæ.meh
börsakursa+N+Der/viđá+Adv	börsakursaviđá	pˈørə.sɑ#khˌurə.sɑ»vˌi.ðɑː
börsakursa+N+Sg+Ill	börsakursii	pˈørə.sɑ#khˌurə.sij
börsakursa+N+Pl+Nom	börsakurssat	pˈørə.sɑ#khˌurs.sɑh
cadjat+V+TV+Der/stuvva+V+Actio+Nom	cajastuvvan	tsˈɑ.jɑː»stˌuv.vɑn
cadjásit+V+IV+Imprt+Sg3	cadjásus	tsˈɑcː.cɑː.sus
cahkat+V+IV+Pot+Prs+Sg3	cagaš	tsˈɑ.gɑːʃ
cahkat+V+IV+VGen	caga	tsˈɑ.gɑː
cancut+V+IV+Der/PassL+V+IV+Der/supmi+N+Sg+Ill	cancosupmái	tsˈɑnː.n̥tso»sˌupː.mɑːj
cehkodit+V+TV+Actio+Loc	cehkodeamis	tsˈeh.ko.ðˌeæ.mis
cementeret+V+TV+Ind+Prt+Du1	cementeriime	tsˈeː.menː.n̥tˌe.rij.me
centigrámma+N+Sg+Ill	centigrámmii	tsˈenː.n̥ti.grˌɑːm.mij
changeret+V+TV+Ind+Prt+Du3	changeriiga	tshˈɑŋŋ.ke.rˌijː.kɑ
charter+N+Der/viđá+Adv	charterviđá	tshˈɑrə.hter»vˌi.ðɑː
chat+N+Sg+Ill	chatii	tshˈɑ.tij
chevroteret+V+IV+Der/PassL+V+IV+Ind+Prt+Sg3	chevroterejuvvui	tshˈeβː.ro.tˌe.re»j»ˌuv.vuj
chevroteret+V+IV+Ind+Prt+Du1	chevroteriime	tshˈeβː.ro.tˌe.rij.me
chevroteret+V+IV+Ind+Prt+Pl2	chevroteriidet	tshˈeβː.ro.tˌe.rij.deh
chilibihppor+N+Der/viđá+Adv	chilibihpporviđá	tshˈi.li#pˌihː.por»vˌi.ðɑː
cikkit+Adv	cikkit	tsˈikː.kiːh
civccodit+V+TV+VAbess	civccotkeahttájin	tsˈiβɸ.tsoh#khˌĕæhː.tɑː.jin
cizihit+V+TV+Der/alla+V+Ind+Prs+ConNeg	cizáhala	tsˈi.dsɑːh»ˌɑ.lɑ
cohkodat+N+Sg+Com+PxPl2	cohkodagaineattet	tsˈoh.ko.ðˌɑ.gɑj.nˌĕæt.teh
collas+A+Sg+Nom	collas	tsˈolː.lɑːs
comeback+N+Ess+PxSg2	comebackanat	tsˈo.me#pˌɑts.kɑ.nɑh
cowboy+Sem/Hum+N+Sg+Ill	cowboyii	tsˈoβ.bo.yjː
crossbána+Sem/Plc+N+Sg+Ill	crossbánii	tsrˈosː#pˌɑː.nij
crossnásti+Sem/Hum+N+Der/viđá+Adv	crossnásteviđá	tsrˈosː#nˌɑːsː.te»vˌi.ðɑː
cuhcit+V+IV+ConNegII	cuhco	tsˈuh.tso
cuippas+A+Sg+Acc	cuipasa	tsˈujː.çpɑ.sɑ
cuozzut+V+IV+Sup	cuccožit	tsˈut.tso.dʃih
cuvkit+V+IV+Der/meahttun+A+Comp+Sg+Nom	cuvkemeahttuset	tsˈuβː.ɸke»mˌĕæhː.tu.seh
cuš+Interj	cuš	tsˈuʃ
cábus+N+Der/Dimin+N+Sg+Com+PxDu2	cáhposaččaineatte	tsˈɑːh.pos»ˌɑt.tʃɑj.nˌĕæt.te
cáhkit+V+TV+Der/halla+V+Imprt+ConNeg	cágáhala	tsˈɑː.gɑː»hˌɑ.lɑ
cákcut+V+IV+Der/l+V+Der/adda+V+Ind+Prs+Sg3	cákcoladdá	tsˈɑːkː.htso»lˌɑdː.tɑː
cákcut+V+IV+Imprt+ConNeg	cávcco	tsˈɑːβɸ.tso
cázastit+V+TV+Der/meahttun+A+Pl+Nom	cázasmeahttumat	tsˈɑː.dsɑs»mˌĕæhː.tu.mɑh
cæsarisma+N+Der/viđá+Adv	cæsarismaviđá	tsˈæ.sɑ.rˌisː.mɑ»vˌi.ðɑː
cæsarisma+N+Sg+Ill	cæsarismii	tsˈæ.sɑ.rˌisː.mij
cæsarisma+N+Pl+Gen+PxDu2	cæsarismmaideatte	tsˈæ.sɑ.rˌis.mɑj.dˌĕæt.te
cæsarisma+N+Pl+Ill+PxSg3	cæsarismmaidasas	tsˈæ.sɑ.rˌis.mɑj.dˌɑ.sɑs
cæsarisma+N+Sg+Gen+PxSg2	cæsarismmat	tsˈæ.sɑ.rˌis.mɑh
cæsarisma+N+Sg+Com+PxDu2	cæsarismmaineatte	tsˈæ.sɑ.rˌis.mɑj.nˌĕæt.te
cæsarisma+N+Der/Dimin+N+Der/Dimin+N+Sg+Nom	cæsarismmažaš	tsˈæ.sɑ.rˌis.mɑ»dʃɑʃ
čiekŋun+Sem/Act+N+Pl+Loc	čiekŋumiin	tšiek.ŋu.mijn
dagus+N+Sg+Ill+PxSg2	dahkosasat	tˈɑh.ko.sˌɑ.sɑh
dajus+N+Der/viđá+Adv	dajusviđá	tˈɑ.jus»vˌi.ðɑː
dajadit+V+TV+Inf	dajadit	tˈɑ.jɑː.ðih
danhámat+A+Pl+Nom	donhámagat	tˈon#hˌɑː.mɑ.gɑh
danhámat+A+Attr	donhámat	tˈon#hˌɑː.mɑh
danhámat+A+Sg+Nom	donhámat	tˈon#hˌɑː.mɑh
defloreret+V+TV+Ind+Prt+Du3	defloreriiga	tˈe.flo.rˌe.rij.gɑ
dentet+V+TV+Ind+Prt+Pl1	dentiimet	tˈenː.n̥tij.meh
deđot+A+Ess	diđogin	tˈi.ðo.gin
deđot+A+Superl+Pl+Gen	diđogamosiid	tˈi.ðo.gˌɑ.mo.sijh
deđot+A+AttrCmp+Der/borat+A+Der/vuohta+N+Sg+Ill	diđotboratvuhtii	tˈiː.ðoh»bˌo.rɑh»vˌuh.tij
deđot+A+Der/vuohta+N+Sg+Ill	diđotvuhtii	tˈiː.ðoh»vˌuh.tij
diminutiiva+N+Der/viđá+Adv	deminutiivaviđá	tˈe.mi.nˌu.tij.vɑ»vˌi.ðɑː
diminutiiva+N+Sg+Ill	deminutiivii	tˈe.mi.nˌu.tij.vij
diminutiiva+N+Pl+Nom+PxDu1	deminutiivvaideame	tˈe.mi.nˌu.tijv.vˌɑj.dĕæ.me
dikŋa+N+Sg+Acc+PxPl3	diŋaset	tˈi.ŋɑː.seh
don+Pron+Pers+Pl2+Gen	din	tˈin
don+Pron+Pers+Sg2+Acc	du	tˈuː
don+Pron+Pers+Sg2+Loc	dus	tˈus
doggi+N+Ess+PxDu3	doggineaskka	tˈogː.ki.nˌeæs.kɑ
doggi+N+Sg+Com+PxDu3	dokkiineaskka	tˈok.kij.nˌeæs.kɑ
dopmu+N+Der/viđá+Adv	dopmoviđá	tˈop.mo»vˌi.ðɑː
doŋas+A+AttrCmp+Der/áissat+A+Der/vuohta+N+Sg+Ill	dokŋaáissatvuhtii	tˈokː.ŋɑː»ˌɑːjs.sɑh»vˌuh.tij
driftsenheta+N+Ess+PxSg3	driftsenhetanis	drˈift.sen.hˌe.tɑ.nis
drogeriija+Sem/Org+Sem/Plc+N+Sg+Ill	drogeriijii	drˈo.ge.rˌij.jij
duahkásaš+A+Pl+Acc	duahkásaččaid	tˈu#ˌɑh.kɑː.sˌɑt.tʃɑjh
dua+Interj	dua	tˈu.ɑ
dumon+N+Pl+Nom	dumonat	tˈu.mo.nɑh
durra+N+Der/huhtti+V+TV+Ger	durahuhtediin	tˈu.rɑː»hˌuh.te.dijn
dysleksiija+N+Ess+PxSg3	dysleksiijanis	tˈys.lekː.sˌij.jɑ.nis
dystrofiija+N+Sg+Ill	dystrofiijii	tˈyst.ro.fˌij.jij
dággir+N+Der/geahtes+A+Attr	dággergeahtes	tˈɑːgː.ker»gˌĕæh.tes
dáivvaš+N+Der/Dimin+N+Sg+Nom	dáivahaš	tˈɑːjː.vɑh»ɑʃ
dájuhit+V+TV+Der/adda+V+VAbess	dájohattahaga	tˈɑː.joh»ˌɑt.tɑ.hˌɑ.gɑ
dáldut+V+IV+Der/goahti+V+Ind+Prs+Du1	dáldugohte	tˈɑːlː.tu»gˌoh.te
dáŋka+N+Sg+Ill	dáŋkii	tˈɑːŋŋ.ŋ̊kij
eana+Sem/Plc+v1+N+Ess+PxPl1	eananeamet	ˈeæ.nɑ.nˌĕæ.meh
eana+Sem/Plc+v1+N+Ess+PxPl3	eananeaset	ˈeæ.nɑ.nˌĕæ.seh
eana+Sem/Plc+v1+N+Sg+Nom	eana	ˈeæ.nɑ
eana+Sem/Plc+v1+N+Der/huhtti+V+TV+VGen	eanahuhti	ˈeæ.nɑ»hˌuhː.ti
eana+Sem/Plc+v1+N+Der/huvva+V+IV+Cond+Prs+Pl2	eanahuvaleiddet	ˈeæ.nɑ»hˌu.vɑ.lˌejt.teh
eana+Sem/Plc+v1+N+Der/huvva+V+IV+Inf	eanahuvvat	ˈeæ.nɑ»hˌuv.vɑh
eana+Sem/Plc+v1+N+Pl+Nom	eatnamat	ˈeæt.nɑ.mɑh
eana+Sem/Plc+v1+N+Pl+Acc	eatnamiid	ˈeæt.nɑ.mijh
eana+Sem/Plc+v1+N+Sg+Loc+PxSg2	eatnamisttát	ˈeæt.nɑ.mˌis.tɑːh
eana+Sem/Plc+v1+N+Der/Dimin+N+Sg+Nom	eatnamaš	ˈeæt.nɑm»ɑʃ
eana+Sem/Plc+v1+N+Der/Dimin+N+Sg+Ill+PxDu2	eatnamažžaseatte	ˈeæt.nɑm»ˌɑdː.tʃɑ.sˌĕæt.te
eana+Sem/Plc+v2+N+Ess	eanamin	ˈeæ.nɑ.min
eana+Sem/Plc+v2+N+Der/heapmi+A+Pl+Nom	eanamheamit	ˈeæ.nɑm»hˌeæ.mih
eana+Sem/Plc+v2+N+Der/heapmi+A+Attr	eanamhis	ˈeæ.nɑm»his
eana+Sem/Plc+v2+N+Der/viđá+Adv	eanamviđá	ˈeæ.nɑm»vˌi.ðɑː
eana+Sem/Plc+v2+N+Sg+Nom	eanan	ˈeæ.nɑn
eana+Sem/Plc+v2+N+Der/laš+A+AttrCmp+Der/olat+A+Sg+Gen	eananlašolaga	ˈeæ.nɑn»lɑʃ»ˌo.lɑ.gɑ
eana+Sem/Plc+v2+N+Pl+Nom	eatnamat	ˈeæt.nɑ.mɑh
