Lægreid+N+Prop+Sem/Sur+Ess	Lægreidan	lˈæːgr#ei.d>ɑn
Lærdal+N+Prop+Der/laš+A+Attr	Lærdalalaš	lˈæːr#dɑː.l>ɑ.lɑʃ
Læringssenteret+N+Prop+Ess	Læringssenteretin	lˈæː.riŋːs.sˌenː.te.re.t>in
Léman+N+Prop+Sem/Sur+Sg+Nom	Léman	lˈeː.mɑn>
Lörstrand+N+Prop+Sem/Sur+Sg+Gen	Lörstrand	lˈøːr#strɑnː>
Lövgren+N+Prop+Sem/Sur+Sg+Ill	Lövgrenii	lˈøːv#greː.n>ij
Løyning+N+Prop+Sem/Sur+Attr	Løynings	l.øy.niŋː>s
Løvik+N+Prop+Sem/Sur+Ess	Løvikan	lˈøː#viː.k>ɑn
Lüdenscheid+N+Prop+Sg+Ill	Lüdenscheidii	lˈyː.den.skhei.d>ij
Lüdenscheid+N+Prop+Der/laš+A+Sg+Nom+PxSg3	Lüdenscheidalažžas	lˈyː.den.skhei.d>ɑ.lɑž.žɑs
Machiavelli+N+Prop+Sem/Sur+Pl+Ill	Machiavelliide	mˈɑk.hi.ˌɑ.vel.li>i.de
Maeda+N+Prop+Sem/Sur+Ess	Maedan	mˈæː.dɑ>n
Masterud+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Sg+Ill	Masterudalašvuhtii	mˈɑsː.te#rʉː.d>ɑ.lɑʃ»vˌu.tij
McDonald+N+Prop+Sem/Mal+Attr	McDonald	mkdˈuː.nɑlː>
Megard+N+Prop+Sem/Sur+Sg+Acc	Megarda	mˈeː#gɑː.r>ɑ
Mellingen+N+Prop+Der/laš+A+Pl+Nom	Mellingenlaččat	mˈelː.lin.gen>.lɑč.čɑt
Meänkieli+N+Prop+Pl+Gen	MeänKieliid	mˈeː.æn#çˌiː.li>id
Mihalkova+N+Prop+Sem/Sur+Sg+Loc	Mihalkovas	mˈiː.hɑl.kˌo.vɑ>s
Mjær+N+Prop+Sem/Sur+Sg+Com	Mjærain	mjˈæː.r>ɑjn
Modalsli+N+Prop+Der/laš+A+Sg+Nom	Modalslilaš	mˈuː.dɑls#liː>.lɑʃ
Mouridsen+N+Prop+Sem/Sur+Pl+Acc	Mouridseniid	mˈou.rid.se.n>ijh
Mulstrand+N+Prop+Der/laš+A+Sg+Com+PxPl3	Mulstrandalaččaineaset	mʉːl#strɑn.n>ɑ.lɑč.čɑj.nĕɑ.set
Muztagata+N+Prop+Sg+Loc	Muztagatas	mˈuz.tɑː#gˌɑː.tɑs
Mäntyrova+N+Prop+Ess	Mäntyrovan	mˈænː.ty.rˌo.vɑ>n
Mäntyrova+N+Prop+Sg+Com	Mäntyrovain	mˈænː.ty.rˌo.vɑ>in
Mäntyrova+N+Prop+Der/laš+A+Sg+Com+PxDu2	Mäntyrovalaččaineatte	mˈænː.ty.rˌo.vɑ>.lɑč.čɑj.nĕɑt.te
Mäntyrova+N+Prop+Der/laš+A+AttrCmp+Der/lunddot+A+Sg+Com	Mäntyrovalašlunddogiin	mˈænː.ty.rˌo.vɑ>.lɑʃ»lˌund.do.gijn
Mäntyrova+N+Prop+Der/laš+A+AttrCmp+Der/oasat+A+Pl+Ill	Mäntyrovalašoasagiidda	mˈænː.ty.rˌo.vɑ>.lɑʃ»ˌoɑ.sɑ.gˌijd.dɑ
Mäntyrova+N+Prop+Der/laš+A+Sg+Ill	Mäntyrovalažžii	mˈænː.ty.rˌo.vɑ>.lɑž.žij
Målfrid+N+Prop+Sem/Fem+Attr	Målfrid	mˈoːl#friːd>
Måsøy+N+Prop+Sg+Nom	Måsøy	mˈoːs#øy>
Mære+N+Prop+Sem/Sur+Sg+Com	Mæriin	mˈæː.ri>in
Mérida+N+Prop+Sem/Fem+Sg+Ill	Méridai	mˈeː.ri.dɑ>i
Mérida+N+Prop+Sem/Fem+Sg+Loc	Méridas	mˈeː.ri.dɑ>s
Mérida+N+Prop+Sem/Fem+Der/Dimin+Ess	Méridažin	mˈeː.ri.dɑ>.žin
Mølmann+N+Prop+Sem/Sur+Sg+Gen	Mølmann	mˈøːl#mɑnː>
Møns+N+Prop+Sem/Mal+Attr	Møns	mˈøns>
Naaman+N+Prop+Sem/Sur+Pl+Nom	Naamanat	nˈoː.mɑ.n>ɑt
Naddvik+N+Prop+Sem/Sur+Sg+Ill	Naddvikii	nˈɑdː#viː.k>ij
Ndola+N+Prop+Ess	Ndolan	ndˈuː.lɑ>n
Ndola+N+Prop+Der/laš+A+AttrCmp+Der/varat+A+Der/vuohta+N+Sg+Ill	Ndolalašvaratvuhtii	ndˈuː.lɑ>.lɑʃ»vˌɑ.rɑt»vˌu.tij
Neergaard+N+Prop+Sem/Sur+Sg+Com	Neergaardain	nˈeːr#goːr.d>ɑjn
Nekstad+N+Prop+Sem/Sur+Pl+Acc	Nekstadaid	nˈeːk#stɑː.d>ɑjh
Nikkeby+N+Prop+Sg+Gen	Nikkeby	nˈik.ke#byː>
Njaa+N+Prop+Pl+Nom	Njaat	ɲˈoː>t
Njåstad+N+Prop+Sem/Sur+Pl+Nom	Njåstadat	ɲˈoː#stɑː.d>ɑt
Njåstad+N+Prop+Sem/Sur+Sg+Nom	Njåstad	ɲˈoː#stɑːd>
Njærheim+N+Prop+Sg+Gen	Njærheim	ɲˈæːr#heim>
Nokia+N+Prop+Sg+Ill	Nokiai	nˈuː.çi.ɑ>i
Nolsøe+N+Prop+Sem/Sur+Pl+Ill	Nolsøeide	nˈols#øː>i.de
Nydal+N+Prop+Sg+Ill	Nydalii	nˈyː#dɑː.l>ij
Nyenget+N+Prop+Der/laš+A+Sg+Nom	Nyengetlaš	nˈyː#ˌeŋ.ŋet>.lɑʃ
Nådendal+N+Prop+Sg+Acc	Nådendala	nˈoː.den#dɑː.l>ɑ
Nørgaard+N+Prop+Sem/Sur+Sg+Ill	Nørgaardii	nˈøːr#goːr.d>ij
Oakland+N+Prop+Ess	Oaklandan	ˈoɑk#lɑn.n>ɑn
Oakland+N+Prop+Der/laš+A+Ess+PxDu1	Oaklandalažžaneame	ˈoɑk#lɑn.n>ɑ.lɑž.žɑ.nĕɑ.me
Oanes+N+Prop+Sem/Sur+Ess	Oanesan	ˈoɑ#neː.s>ɑn
Oberhausen+N+Prop+Sem/Sur+Sg+Acc	Oberhausen	ˈuː.ber#høʉ.sen>
Observatoriegata+N+Prop+Sg+Com	Observatoriegateniin	ˈob.ser.vˌɑ.to.rie#gˌɑː.te.niːn
Oftedahl+N+Prop+Sem/Sur+Sg+Nom	Oftedahl	ˈof.te#dɑːl>
Oggevatn+N+Prop+Ess	Oggevatnan	ˈog.ge#vɑt.n>ɑn
Oggevatn+N+Prop+Sg+Acc	Oggevatna	ˈog.ge#vɑt.n>ɑ
Oggevatn+N+Prop+Der/laš+A+AttrCmp+Der/uvssat+A+Sg+Nom	Oggevatnalašuvssat	ˈog.ge#vɑt.n>ɑ.lɑʃ»ˌuvs.sɑt
Ohad+N+Prop+Sg+Ill	Ohadii	ˈuː.hɑ.d>ij
Ohlsen+N+Prop+Sem/Sur+Attr	Ohlsens	ˈolː.sen>s
Oksfjellelva+N+Prop+Der/laš+A+Sg+Loc+PxPl1	Oksfjellelvalaččasteamet	ˈoks.fjelː#ˌelː.vɑ>.lɑč.čɑs.tĕɑ.met
Oksnes+N+Prop+Der/laš+A+Pl+Loc+PxDu2	Oksnesalaččaineatte	ˈoks#neː.s>ɑ.lɑč.čɑj.nĕɑt.te
Oksnes+N+Prop+Der/laš+A+Sg+Ill	Oksnesalažžii	ˈoks#neː.s>ɑ.lɑž.žij
Olstad+N+Prop+Sem/Sur+Ess	Olstadan	ˈuːl#stɑː.d>ɑn
Onstad+N+Prop+Sem/Sur+Sg+Ill	Onstadii	ˈuːn#stɑː.d>ij
Oosmo+N+Prop+Sg+Nom	Oosmo	ˈoːsː.mo>
Opedal+N+Prop+Ess	Opedalan	ˈuː.pe#dɑː.l>ɑn
Opseth+N+Prop+Sem/Sur+Ess	Opsethan	ˈop.set.>ɑn
Ording+N+Prop+Sem/Sur+Attr	Ordings	ˈuː.riŋː>s
Orkdølafylke+N+Prop+Sg+Nom	Orkdølafylke	ˈork.dø.lɑ#fˌylː.ke>
Otomo+N+Prop+Sg+Nom	Otomo	ˈuː.to.mo>
Oviken+N+Prop+Der/laš+A+Sg+Gen+PxDu2	Ovikenlaččade	ˈuː#vˌiː.ken>.lɑč.čɑ.de
Ovdal+N+Prop+Sem/Sur+Sg+Loc	Ovdalis	ˈuːv#dɑː.l>is
Ovdal+N+Prop+Sem/Sur+Attr	Ovdals	ˈuːv#dɑːl>s
Overretten+N+Prop+Pl+Com	Overretteniiguin	ˈuː.ver#rˌet.te.n>ij.gujn
Owesen+N+Prop+Sem/Sur+Sg+Loc	Owesenis	ˈuː.ve.se.n>is
Owesen+N+Prop+Sem/Sur+Attr	Owesens	ˈuː.ve.sen>s
Oxelösund+N+Prop+Der/laš+A+Pl+Loc	Oxelösundlaččain	ˈuːks.e.lø#sunː>»lˌɑč.čɑjn
Pedersen+N+Prop+Sem/Sur+Attr	Pedersens	phˈeː.der.sen>s
Peisen+N+Prop+Sem/Sur+Attr	Peisens	phˈei.sen>s
Penna+N+Prop+Sg+Loc	Pennas	phˈenː.nɑː>s
Persen+N+Prop+Sem/Sur+Sg+Loc	Persenis	phˈærː.se.n>is
Philadelphia+N+Prop+Der/laš+A+Pl+Loc+PxSg2	Philadelphialaččainat	phˈiː.lɑ.dˌelp.hi.ɑ>.lɑč.čɑj.nɑt
Philadelphia+N+Prop+Der/laš+A+Sg+Acc+PxDu3	Philadelphialaččaska	phˈiː.lɑ.dˌelp.hi.ɑ>.lɑč.čɑs.kɑ
Pikefossen+N+Prop+Sg+Nom	Pikefossen	phˈiː.ke#fˌos.sen>
Pistoia+N+Prop+Sg+Ill	Pistoiai	phˈisː.to.iɑ>i
Pladsen+N+Prop+Sem/Sur+Ess	Pladsenin	plˈɑd.se.n>in
Planetaria+N+Prop+Sg+Ill	Planetariai	plˈɑː.ne.tˌɑ.ri.ɑ>i
Pløen+N+Prop+Sem/Sur+Sg+Ill	Pløenii	plˈøː.n>ij
Pløen+N+Prop+Sem/Sur+Attr	Pløens	plˈøːn>s
Polyhymnia+N+Prop+Der/laš+A+Pl+Nom	Polyhymnialaččat	phˈuː.ly.hˌym.ni.ɑ>.lɑč.čɑt
Pompeia+N+Prop+Sg+Com	Pompeiain	phˈomː.peiɑ>in
Prakova+N+Prop+Sem/Sur+Pl+Nom	Prakovat	prˈɑː.ko.vɑ>t
Prospektering+N+Prop+Sg+Loc	Prospekteringis	prˈosː.pekː.htˌe.rin.g>is
Punna+N+Prop+Sem/Sur+Pl+Acc	Punnaid	phˈunː.nɑː>id
Pæska+N+Prop+Sg+Nom	Pæska	phˈæːsː.kɑ>
Pøsa+N+Prop+Sem/Mal+Attr	Pøsa	phˈøː.sɑ>
Qing+N+Prop+Sem/Sur+Pl+Com	Qingaiguin	kˈin.g>ɑj.gujn
Qing+N+Prop+Sem/Sur+Pl+Gen	Qingaid	kˈin.g>ɑjh
Qing+N+Prop+Sem/Sur+Sg+Gen	Qing	kˈiŋː>
Qing+N+Prop+Sem/Sur+Sg+Com	Qingain	kˈin.g>ɑjn
Qing+N+Prop+Sem/Sur+Sg+Ill	Qingii	kˈin.g>ij
Quebrada+N+Prop+Der/laš+A+Sg+Com+PxDu3	Quebradalaččaineaskka	kˈueb.rɑ.dɑ>.lɑč.čɑj.neɑs.kɑ
Queseth+N+Prop+Sem/Sur+Sg+Nom	Queseth	kˈue.set>
Quisling+N+Prop+Sem/Sur+Pl+Ill	Quislingiidda	kˈui.slin.g>ijd.dɑ
Quisling+N+Prop+Sem/Sur+Attr	Quislings	kˈui.sliŋː>s
Qvigstad+N+Prop+Sem/Sur+Sg+Ill	Qvigstadii	kvˈiːg#stɑː.d>ij
Qvæn+N+Prop+Sem/Sur+Sg+Acc	Qvæna	kvˈæː.n>ɑ
Qvænsk+N+Prop+Sem/Sur+Sg+Gen	Qvænsk	kvˈæːnsk>
Qvænsk+N+Prop+Sem/Sur+Sg+Ill	Qvænskii	kvˈæːns.k>ij
Rahbæk+N+Prop+Sem/Sur+Attr	Rahbæks	rˈɑː#bæːk>s
Recklinghausen+N+Prop+Sem/Sur+Attr	Recklinghausens	rˈekː.liŋː#høʉ.sen>s
Refling+N+Prop+Sem/Sur+Sg+Nom	Refling	rˈef.liŋː>
Rennes+N+Prop+Sem/Sur+Pl+Loc	Rennesain	rˈeːn#neː.s>ɑjn
Reyðarfjörður+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Ess+PxPl3	Reyðarfjörðurlašvuohtaneaset	rˈeː.yðɑr#fjørður>.lɑʃ»vˌuo.tɑ.nˌĕɑ.set
Rhinland+N+Prop+Sg+Com	Rhinlandain	rhˈiːn#lɑn.n>ɑjn
Riga+N+Prop+Sg+Loc	Rigas	rˈiː.gɑ>s
Rjånes+N+Prop+Sg+Ill	Rjånesii	rjˈoː#neː.s>ij
Road+N+Prop+Sem/Sur+Sg+Ill	Roadii	rˈoɑ.d>ij
Roosen+N+Prop+Sem/Sur+Attr	Roosens	rˈoː.sen>s
Rwanda+N+Prop+Der/laš+A+Pl+Gen+PxSg3	Rwandalaččaidis	rvˈɑnː.dɑː>.lɑč.čɑj.dis
Rwanda+N+Prop+Der/laš+A+Attr	Rwandalaš	rvˈɑnː.dɑː>.lɑʃ
Ryeng+N+Prop+Sem/Sur+Sg+Loc	Ryengas	rˈyː#en.g>ɑs
Rystraumen+N+Prop+Sg+Nom	Rystraumen	rˈyː#strøʉ.men>
Rättvik+N+Prop+Sem/Sur+Sg+Gen	Rättvik	rˈætː#viːk>
Rättvik+N+Prop+Sem/Sur+Sg+Ill	Rättvikii	rˈætː#viː.k>ij
Ræder+N+Prop+Sem/Sur+Attr	Ræders	rˈæː.der>s
Rælingen+N+Prop+Sg+Gen	Rælingena	rˈæː.lin.ge.n>ɑ
Rælingen+N+Prop+Sg+Ill	Rælingenii	rˈæː.lin.ge.n>ij
Rælingen+N+Prop+Der/laš+A+Sg+Gen+PxPl3	Rælingenlaččaset	rˈæː.lin.gen>.lɑč.čɑ.set
Rörosen+N+Prop+Sem/Sur+Sg+Gen+Allegro	Rörosen	rˈøːr#ˌuː.sen>
Rörosen+N+Prop+Sem/Sur+Attr	Rörosens	rˈøːr#ˌuː.sen>s
Rüdesheim+N+Prop+Sg+Acc	Rüdesheim	rˈyː.des#heim>
Rüdesheim+N+Prop+Sg+Com	Rüdesheimain	rˈyː.des#hei.m>ɑjn
SATø+N+Prop+Sg+Com	SATøin	sˈɑː.tø>in
Sauland+N+Prop+Der/laš+A+Sg+Gen+PxDu3	Saulandalaččaska	sˈøʉ#lɑn.n>ɑ.lɑč.čɑs.kɑ
Saxlund+N+Prop+Sem/Sur+Sg+Gen	Saxlund	sˈɑːks#lunː>
Sessvollmoen+N+Prop+Der/laš+A+Pl+Nom+PxDu1	Sessvollmoenlaččaideame	sˈesː#volː#mˌuː.en>.lɑč.čɑj.dĕɑ.me
Sicilia+N+Prop+Sg+Com	Siciliain	sˈiː.si.lˌi.ɑ>in
Skibotn+N+Prop+Sg+Nom	Skibotn	ʃˈiː#botn>
Skodborg+N+Prop+Sem/Sur+Sg+Ill	Skodborgii	skˈuːd#bor.g>ij
Soliman+N+Prop+Sem/Sur+Sg+Gen	Soliman	sˈuː.li.mɑn>
Spilling+N+Prop+Sem/Sur+Attr	Spillings	spˈilː.liŋː>s
Sporring+N+Prop+Sem/Sur+Pl+Com	Sporringiiguin	spˈorː.rin.g>ij.gujn
Stålesen+N+Prop+Sem/Sur+Pl+Acc	Ståleseniid	stˈoː.le.se.n>ijh
Svebæk+N+Prop+Sem/Sur+Ess	Svebækan	svˈeː.bæː.k>ɑn
Svidal+N+Prop+Sem/Sur+Ess	Svidalan	svˈiː#dɑː.l>ɑn
Swaziland+N+Prop+Sg+Nom	Swaziland	svˈɑː.zi#lɑnː>
Syvdsnes+N+Prop+Sg+Ill	Syvdsnesii	sˈyvds#neː.s>ij
SÁMIacademica+N+Prop+Sg+Com	SÁMIacademicain	sˈá.mi.ˌɑ.kɑ.dˌe.mi.kɑ>in
SÁMIacademica+N+Prop+Sg+Ill	SÁMIacademicai	sˈá.mi.ˌɑ.kɑ.dˌe.mi.kɑ>i
SÁMIacademica+N+Prop+Sg+Loc	SÁMIacademicas	sˈá.mi.ˌɑ.kɑ.dˌe.mi.kɑ>s
Sæland+N+Prop+Ess	Sælandan	sˈæː#lɑn.n>ɑn
Söderköping+N+Prop+Der/laš+A+Pl+Gen+PxSg3	Söderköpinglaččaidis	sˈøː.der#çˌøː.piŋː>.lɑč.čɑj.dis
Sörmland+N+Prop+Sg+Nom	Sörmland	sˈørm#lɑnː>
Süleyman+N+Prop+Sem/Sur+Ess	Süleymanan	sˈyː.le.ˌy.mɑ.n>ɑn
Taiping+N+Prop+Der/laš+A+Sg+Nom	Taipinglaš	thˈɑi.piŋː>.lɑʃ
Tchad+N+Prop+Sg+Gen	Tchada	tkhˈɑː.d>ɑ
Thüringerwald+N+Prop+Der/laš+A+Sg+Ill	Thüringerwaldalažžii	thˈyː.rin.ger#vɑl.l>ɑ.lɑž.žij
Tibro+N+Prop+Ess	Tibron	thˈib.ro>n
Tiia+N+Prop+Sem/Fem+Attr	Tiia	thˈiːɑ>
Tina+N+Prop+Sem/Fem+Sg+Ill	Tinai	thˈiː.nɑ>i
Tittelsnes+N+Prop+Der/laš+A+Sg+Nom	Tittelsnesalaš	thˈit.tels#neː.s>ɑ.lɑʃ
Tjomsland+N+Prop+Sg+Acc	Tjomsland	çˈoms#lɑnː>
Tjomsland+N+Prop+Sg+Ill	Tjomslandii	çˈoms#lɑn.n>ij
Torød+N+Prop+Der/laš+A+Sg+Acc+PxPl1	Torødalažžamet	thˈuː#røː.d>ɑ.lɑž.žɑ.met
Trabelia+N+Prop+Sg+Com	Trabeliain	trˈɑː.be.lˌi.ɑ>in
Trøan+N+Prop+Der/laš+A+Pl+Ill	Trøanlaččaide	trˈøː.ɑn>.lɑč.čɑj.de
Tsingling+N+Prop+Sem/Sur+Sg+Gen+Allegro	Tsingling	tsˈiŋː.liŋː>
Tvedestrand+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Sg+Acc+PxSg1	Tvedestrandalašvuohtan	tvˈeː.de#strɑn.n>ɑ.lɑʃ»vˌuo.tɑn
Tveitnes+N+Prop+Sem/Sur+Sg+Acc	Tveitnesa	tvˈeit#neː.s>ɑ
Tärnaby+N+Prop+Sg+Nom	Tärnaby	thˈæː.ɳɑ#byː>
Tårstad+N+Prop+Sg+Nom	Tårstad	thˈoːr#stɑːd>
Tælavåg+N+Prop+Sg+Ill	Tælavågii	thˈæː.lɑ#voː.g>ij
Tórshavn+N+Prop+Der/laš+A+Sg+Nom	Tórshavnalaš	thˈuːʃ#hɑv.n>ɑ.lɑʃ
Töreboda+N+Prop+Sg+Acc	Töreboda	thˈøː.re#bˌuː.dɑ>
Töreboda+N+Prop+Sg+Com	Törebodain	thˈøː.re#bˌuː.dɑ>in
Töreboda+N+Prop+Der/laš+A+AttrCmp+Der/pláhtat+A+Sg+Nom	Törebodalašpláhtat	thˈøː.re#bˌuː.dɑ>.lɑʃ»plˌá.tɑt
Tømte+N+Prop+Sem/Sur+Sg+Com	Tømtiin	thˈømː.ti>in
Tøsti+N+Prop+Sem/Mal+Der/Dimin+Pl+Nom	Tøstižat	thˈøsː.ti>.žɑt
Tüchsen+N+Prop+Sem/Sur+Pl+Nom	Tüchsenat	thˈykː.se.n>ɑt
Ubergsmoen+N+Prop+Ess	Ubergsmoenin	ʉʉ.bergs#mˌuː.e.n>in
Ubergsmoen+N+Prop+Sg+Loc	Ubergsmoenis	ʉʉ.bergs#mˌuː.e.n>is
Uchermann+N+Prop+Sem/Sur+Sg+Acc	Uchermann	ˈuk.her#mɑnː>
Udmurtia+N+Prop+Der/laš+A+Attr	Udmurtialaš	ˈud.mur.tˌi.ɑ>.lɑʃ
Udsen+N+Prop+Sem/Sur+Sg+Loc	Udsenis	ˈud.se.n>is
Uefa+N+Prop+Sg+Loc	Uefas	ˈue.fɑ>s
Uerdingen+N+Prop+Der/laš+A+AttrCmp+Der/čoalat+A+Pl+Nom	Uerdingenlaščoalagat	ˈuerː.din.gen>.lɑʃ»čˌoɑ.lɑ.gɑt
UiTø+N+Prop+Sg+Gen	UiTø	ˈui.tø>
UiTø+N+Prop+Sg+Ill	UiTøi	ˈui.tø>i
Unsgård+N+Prop+Ess	Unsgårdan	ˈuns#goː.r>ɑn
Upernavik+N+Prop+Der/laš+A+Sg+Loc	Upernavikalaččas	ʉʉ.pe.ɳɑ#viː.k>ɑ.lɑč.čɑs
Urfjell+N+Prop+Sem/Sur+Ess	Urfjellan	ʉʉr#fjel.l>ɑn
Ustevann+N+Prop+Sem/Sur+Sg+Acc	Ustevanna	ˈusː.te#vɑn.n>ɑ
Utjamningsmeldinga+N+Prop+Sg+Acc	Utjamningsmeldinga	ˈut.jɑːm.nˌiŋːs.mel.dˌin.gɑ>
Utmarksprodukter+N+Prop+Ess	Utmarksprodukterin	ˈutː.mɑːrks#prˌuː.dukː.hte.r>in
Utmarksprodukter+N+Prop+Sg+Loc	Utmarksprodukteris	ˈutː.mɑːrks#prˌuː.dukː.hte.r>is
Uvdal+N+Prop+Sg+Acc	Uvdal	ʉʉv#dɑːl>
Vansjø+N+Prop+Sg+Com	Vansjøin	vˈɑːn#ʃøː>in
Vega+N+Prop+Sem/Sur+Ess	Vegan	vˈeː.gɑ>n
Veolia+N+Prop+Sg+Acc	Veolia	vˈeː.o.lˌi.ɑ>
Veolia+N+Prop+Sg+Loc	Veolias	vˈeː.o.lˌi.ɑ>s
Vetrhus+N+Prop+Sem/Sur+Ess	Vetrhusan	vˈetr#hʉː.s>ɑn
Vigdal+N+Prop+Der/laš+A+Pl+Com	Vigdalalaččaiguin	vˈiːg#dɑː.l>ɑ.lɑč.čɑj.gujn
Vlissingen+N+Prop+Der/laš+A+Sg+Acc+PxPl3	Vlissingenlaččaset	vlˈisː.sin.gen>.lɑč.čɑ.set
Vojvodina+N+Prop+Der/laš+A+Sg+Acc	Vojvodinalačča	vˈojː.vo.dˌi.nɑ>.lɑč.čɑ
Vrangfoss+N+Prop+Der/laš+A+Sg+Gen+PxPl1	Vrangfossalažžamet	vrˈɑŋː#fos.s>ɑ.lɑž.žɑ.met
Vrangfoss+N+Prop+Der/laš+A+Sg+Ill	Vrangfossalažžii	vrˈɑŋː#fos.s>ɑ.lɑž.žij
Vytsjegda+N+Prop+Sg+Gen	Vytsjegda	vˈyt.ʃeg.dɑ>
Vällingby+N+Prop+Sg+Ill	Vällingbyi	vˈælː.liŋː#byː>i
Värmland+N+Prop+Sg+Nom	Värmland	vˈærm#lɑnː>
Västervik+N+Prop+Ess	Västervikan	vˈæsː.ter#viː.k>ɑn
Västervik+N+Prop+Der/laš+A+AttrCmp+Der/ravddat+A+Der/vuohta+N+Sg+Ill	Västervikalašravddatvuhtii	vˈæsː.ter#viː.k>ɑ.lɑʃ»rˌɑvd.dɑt»vˌu.tij
Vålsåa+N+Prop+Der/laš+A+Sg+Ill	Vålsåalažžii	vˈoːls#oːɑ>.lɑž.žij
Vælidalo+N+Prop+Sem/Sur+Ess	Vælidalon	vˈæː.li.dˌɑ.lo>n
Væring+N+Prop+Sem/Sur+Sg+Nom	Væring	vˈæː.riŋː>
Værøy+N+Prop+Sg+Gen	Værøya	vˈæːr#øy>ɑ
Völklingen+N+Prop+Der/laš+A+Sg+Loc	Völklingenlaččas	vˈølk.lin.gen>.lɑč.čɑs
Völklingen+N+Prop+Der/laš+A+Sg+Nom+PxDu1	Völklingenlažžame	vˈølk.lin.gen>.lɑž.žɑ.me
Waiblingen+N+Prop+Sg+Gen+Allegro	Waiblingen	vˈɑib.lin.gen>
Wennberg+N+Prop+Sem/Sur+Pl+Nom	Wennbergat	vˈenː#bær.g>ɑt
Wennevold+N+Prop+Sem/Sur+Sg+Ill	Wennevoldii	vˈen.ne#vol.l>ij
Wiborg+N+Prop+Sg+Nom	Wiborg	vˈiː#borg>
Widding+N+Prop+Sem/Sur+Sg+Loc	Widdingis	vˈid.din.g>is
Windfeldt+N+Prop+Sem/Sur+Ess	Windfeldtan	vˈinː#feld.t>ɑn
Wolfberg+N+Prop+Sem/Sur+Sg+Com	Wolfbergain	vˈolf#bær.g>ɑjn
Worthing+N+Prop+Sg+Nom	Worthing	vˈort.hiŋː>
Wroldsen+N+Prop+Sem/Sur+Attr	Wroldsens	vrˈold.sen>s
Wulfsberg+N+Prop+Sem/Sur+Sg+Nom	Wulfsberg	vˈulfs#bærg>
Wulfsberg+N+Prop+Sem/Sur+Sg+Com	Wulfsbergain	vˈulfs#bær.g>ɑjn
Wulfsberg+N+Prop+Sem/Sur+Sg+Gen	Wulfsberga	vˈulfs#bær.g>ɑ
Wulfsberg+N+Prop+Sem/Sur+Sg+Loc	Wulfsbergas	vˈulfs#bær.g>ɑs
Wulfsberg+N+Prop+Sem/Sur+Sg+Ill	Wulfsbergii	vˈulfs#bær.g>ij
Wyoming+N+Prop+Sg+Nom	Wyoming	vˈyː.o.miŋː>
Wyoming+N+Prop+Sg+Gen	Wyominga	vˈyː.o.min.g>ɑ
Wyoming+N+Prop+Sg+Com	Wyomingiin	vˈyː.o.min.g>ijn
Wyoming+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Ess+PxPl2	Wyominglašvuohtaneattet	vˈyː.o.miŋː>.lɑʃ»vˌuo.tɑ.nˌĕɑt.tet
Wæring+N+Prop+Sem/Sur+Pl+Nom	Wæringat	vˈæː.rin.g>ɑt
Wærnes+N+Prop+Sem/Sur+Sg+Gen	Wærnes	vˈæːr#neːs>
Wøien+N+Prop+Sem/Sur+Pl+Nom	Wøienat	vˈøː.ie.n>ɑt
Wøien+N+Prop+Sem/Sur+Sg+Gen+Allegro	Wøien	vˈøː.ien>
Wøien+N+Prop+Sem/Sur+Attr	Wøiens	vˈøː.ien>s
Württemberg+N+Prop+Sem/Sur+Ess	Württembergan	vˈyrt.tem#bær.g>ɑn
Württemberg+N+Prop+Sem/Sur+Pl+Ill	Württembergaide	vˈyrt.tem#bær.g>ɑj.de
Xia+N+Prop+Ess	Xian	ksˈiː.ɑ>n
Xia+N+Prop+Sg+Acc	Xia	ksˈiː.ɑ>
Xia+N+Prop+Sg+Com	Xiain	ksˈiː.ɑ>in
Xia+N+Prop+Sg+Ill	Xiai	ksˈiː.ɑ>i
Xia+N+Prop+Sg+Loc	Xias	ksˈiː.ɑ>s
Xia+N+Prop+Der/laš+A+Pl+Gen+PxDu3	Xialaččaideaskka	ksˈiː.ɑ>.lɑč.čɑj.deɑs.kɑ
Xia+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Ess+PxPl3	Xialašvuohtaneaset	ksˈiː.ɑ>.lɑʃ»vˌuo.tɑ.nˌĕɑ.set
Xia+N+Prop+Der/laš+A+AttrCmp+Der/bealjat+A+Attr	Xialašbealjat	ksˈiː.ɑ>.lɑʃ»bˌeɑl.jɑt
Xia+N+Prop+Der/laš+A+Sg+Nom	Xialaš	ksˈiː.ɑ>.lɑʃ
Xia+N+Prop+Der/laš+A+Ess+PxPl1	Xialažžaneamet	ksˈiː.ɑ>.lɑž.žɑ.nĕɑ.met
Xining+N+Prop+Sg+Gen+Allegro	Xining	ksˈiː.niŋː>
Xining+N+Prop+Sg+Acc	Xininga	ksˈiː.nin.g>ɑ
Xining+N+Prop+Der/laš+A+Pl+Nom+PxDu1	Xininglaččaideame	ksˈiː.niŋː>.lɑč.čɑj.dĕɑ.me
