Aachen+N+Prop+Ess	Aachenin	ˈɑːts.he.n>in
Brunila+N+Prop+Sem/Sur+Pl+Ill	Brunilaide	brˈu.ni.lɑ>i.de
Brunila+N+Prop+Sem/Sur+Pl+Nom	Brunilat	brˈu.ni.lɑ>h
Brunila+N+Prop+Sem/Sur+Sg+Acc	Brunila	brˈu.ni.lɑ>
Brunila+N+Prop+Sem/Sur+Sg+Com	Brunilain	brˈu.ni.lɑ>in
Brunila+N+Prop+Sem/Sur+Sg+Ill	Brunilai	brˈu.ni.lɑ>i
Brunila+N+Prop+Sem/Sur+Sg+Loc	Brunilas	brˈu.ni.lɑ>s
Brusila+N+Prop+Sem/Sur+Ess	Brusilan	brˈu.si.lɑ>n
Brusila+N+Prop+Sem/Sur+Pl+Nom	Brusilat	brˈu.si.lɑ>h
Brusila+N+Prop+Sem/Sur+Sg+Acc	Brusila	brˈu.si.lɑ>
Brusila+N+Prop+Sem/Sur+Sg+Gen	Brusila	brˈu.si.lɑ>
Brusila+N+Prop+Sem/Sur+Sg+Nom	Brusila	brˈu.si.lɑ>
Brusila+N+Prop+Sem/Sur+Sg+Ill	Brusilai	brˈu.si.lɑ>i
Brusila+N+Prop+Sem/Sur+Sg+Loc	Brusilas	brˈu.si.lɑ>s
Burdigala+N+Prop+Ess	Burdigalan	pˈurː.ti.gˌɑ.lɑ>n
Burdigala+N+Prop+Sg+Acc	Burdigala	pˈurː.ti.gˌɑ.lɑ>
Burdigala+N+Prop+Sg+Gen	Burdigala	pˈurː.ti.gˌɑ.lɑ>
Burdigala+N+Prop+Sg+Nom	Burdigala	pˈurː.ti.gˌɑ.lɑ>
Burdigala+N+Prop+Sg+Com	Burdigalain	pˈurː.ti.gˌɑ.lɑ>in
